Dataset,Method,R²,R² std,RMSE,RMSE std,MAE,MAE std,Spearman,Spearman std,Time (s),Best k
tecator,XGBoost,0.9904738224749419,0.004884024799149188,1.4122646231132614,0.38807352561837766,0.8674047880768778,0.25440176644217477,0.9811026830504433,0.014466134520077239,0.7250079393386841,
tecator,CatBoost,0.9908382905331476,0.003966971450022936,1.4329510830827545,0.4238906913930742,1.0013322202008692,0.28969374870027503,0.984886890130831,0.010319742082650261,0.6007600069046021,
tecator,LightGBM,0.9856885015629675,0.007919082157677669,1.787270486789657,0.6417585925594843,1.149528790769211,0.341731564878831,0.9874524952236097,0.009358329513289774,16.196181654930115,
tecator,RandomForest,0.9922227067857732,0.0032635595964325167,1.2947101193179018,0.3102935112528349,0.8871568924631417,0.17703066107684615,0.9859305101881036,0.008615374383938283,0.624000096321106,
tecator,MLP,0.9932918435877551,0.0037032494561463317,1.1945386009306058,0.35454738435588246,0.8518604451417924,0.20146311710992337,0.990040867804941,0.00817491549522492,0.8332957983016968,
tecator,RW-MLP,0.992867775380334,0.00463521893729576,1.2140659486166512,0.39714790805560357,0.8176551536719003,0.24037366061026946,0.9925851523655534,0.005797672555489052,2.6949890851974487,10.0
tecator,FT-Transformer,0.9049460838074671,0.061864267898275566,4.364696614194375,1.3600377585566275,3.2096567898988724,0.8999901325901783,0.92125849202158,0.0674639932754314,7.823349952697754,
tecator,RW-FT-Transformer,0.9892418165243336,0.004327819094203778,1.5362068232369146,0.32563339604353203,1.1761209425131482,0.245893845087956,0.9853003466736769,0.010673446957387022,59.35335602760315,10.0
space_ga,XGBoost,0.6999956158309232,0.027990774683742278,0.10759218566596784,0.007789722497826412,0.07912386164543296,0.004633675388136779,0.8517393947655248,0.014096430160014219,0.6979820489883423,
space_ga,CatBoost,0.6813674391048676,0.030070769573808793,0.11104570320878968,0.010220928472809213,0.08145615093264023,0.0054851120289967584,0.8408503630581871,0.01415403079291577,0.5412495851516723,
space_ga,LightGBM,0.7097646409913104,0.026940883228050126,0.10589862915325163,0.00876495295833802,0.07776578756752647,0.005105722307296623,0.8546286749106361,0.01535196707665892,11.440447998046874,
space_ga,RandomForest,0.6656489463149926,0.03348322586772404,0.11371250664410933,0.010263555677799794,0.08146935611322978,0.0059494656970960165,0.8362769182896763,0.016243728258309675,0.7043149948120118,
space_ga,MLP,0.7430450542701446,0.02085435801028135,0.09957789135211156,0.006631680100592666,0.07475890407815625,0.004148638296622207,0.8664323043412349,0.010734213222063112,6.615489649772644,
space_ga,RW-MLP,0.7570825911362649,0.018450604187299317,0.09678582698921472,0.0057170419545654345,0.07240313116838037,0.0036228416163384216,0.8745509562525433,0.00951802055703149,44.56936230659485,2.0
space_ga,FT-Transformer,0.6938110275483668,0.036399951775386435,0.10877902860507309,0.010970725691035701,0.08067717730818287,0.006526002101924941,0.843600847342679,0.015973221722605017,28.402354836463928,
space_ga,RW-FT-Transformer,0.7342022652121308,0.03371737961681494,0.10103078850387907,0.006988304596869402,0.07581591962258999,0.004435372960987918,0.8605984457405471,0.017963162890744372,146.93390388488768,5.0
boston,XGBoost,0.8856037301870042,0.046146490987288784,2.848773500262786,0.7076568000886538,2.0258635793947706,0.4021294753280442,0.8922178523382682,0.029783535993262347,0.6907515048980712,
boston,CatBoost,0.8768642523787419,0.031777713328326004,2.990794454670357,0.5710923782647284,2.058413615565498,0.3030551512985665,0.8871222481357324,0.02110298526707339,0.47236511707305906,
boston,LightGBM,0.8561857944389214,0.06226381423858903,3.223319083396688,0.9552320990738433,2.1817438646793823,0.45585627488537683,0.8814050567085502,0.012086631223239793,12.631264257431031,
boston,RandomForest,0.8671951316773262,0.04990130016868423,3.074413051463904,0.6586050463678377,2.1176700804444164,0.3415059273747564,0.8788033286704758,0.030848094352096702,0.5578236818313599,
boston,MLP,0.8710917461609631,0.05996398499989816,3.010703774543371,0.7247145293573419,2.008404441908294,0.26311565898480005,0.8993780291902226,0.03597831581411269,1.280190348625183,
boston,RW-MLP,0.8824794580572339,0.04942174685516904,2.883363133876538,0.6465722653384149,1.9693494353574863,0.27809938730131295,0.9028764910404877,0.03599184871218641,5.585683798789978,10.0
boston,FT-Transformer,0.8250432865937987,0.08102468952421377,3.5170984638962457,1.0286453197959522,2.306107286191454,0.45534705943201914,0.8789655124249001,0.023772494242665997,4.42625322341919,
boston,RW-FT-Transformer,0.8216167087440566,0.09904547204567474,3.5086982676878593,1.1527920634613917,2.25523120506137,0.4374586339554091,0.880300513764402,0.027553704007082153,27.652788043022156,2.0
socmob,XGBoost,0.845909807521062,0.040585188982894066,17.401497547336245,5.696902017825622,6.82728537784219,1.8179243363760142,0.9223449286997372,0.014975201584011586,0.6618949890136718,
socmob,CatBoost,0.8146586607734048,0.09091781755201968,18.933707715529728,8.145900553279317,7.103361400583499,1.7873103893886149,0.9169475850007791,0.015728598407632646,0.4819866418838501,
socmob,LightGBM,0.7650453336370321,0.09144649241061642,21.445134649306976,7.931129014437949,7.982606232798309,2.1130130194051833,0.9171658391396263,0.0197972875186269,23.780834984779357,
socmob,RandomForest,0.7639773888370618,0.08418334304642365,20.9513825684346,6.442805816479961,8.216317749195905,2.1293375466109628,0.925711332190675,0.010789874113173574,0.5842040061950684,
socmob,MLP,0.6823483309961696,0.12789290188120309,24.623274581601002,9.358223573361816,10.553965920441872,2.2065297380252966,0.8252836619059563,0.07638893436280399,1.2053980588912965,
socmob,RW-MLP,0.6784440297614934,0.12914934829544042,24.622476217354663,9.188931381423195,10.459611139065618,2.1318309700635947,0.8384780829213468,0.06006828915192172,5.808014369010925,10.0
socmob,FT-Transformer,0.6488432825218127,0.10796708720370267,25.97708963047114,8.420801381861654,11.046354288252951,2.4335304684664196,0.8482613997221131,0.05644239567781158,4.617184591293335,
socmob,RW-FT-Transformer,0.6538256244422055,0.10856692605184737,25.848613401405885,8.569007629828365,10.911156088699315,2.5578953651281955,0.8605827051136273,0.058844019378270204,25.598413944244385,1.0
sensory,XGBoost,-0.021500030739049568,0.15123179738551423,0.8001995101722297,0.04818460999633316,0.6312059007841966,0.036813541402649745,0.4122479775649456,0.07847136183661559,0.6294447183609009,
sensory,CatBoost,0.2042416263058231,0.08140510667866113,0.7083655847893626,0.04308029221820989,0.5621442441675752,0.03679449872564788,0.4768319758782466,0.05184540544593071,0.48029451370239257,
sensory,LightGBM,0.20486976842863447,0.08486615415922562,0.7088483157897455,0.05805893336572433,0.5720399065132565,0.05136840029927852,0.487114931279672,0.0672877305799269,23.712754464149477,
sensory,RandomForest,0.1579633570575823,0.08465671624468227,0.7294966423783907,0.056131218124396066,0.5830998070904992,0.052477057371588594,0.43451341530487575,0.0612958861650862,0.5748993396759033,
sensory,MLP,0.06697646908938745,0.12698387377406775,0.7664135273570061,0.05756541580768491,0.6101445543354955,0.05493079645853221,0.3267685519016286,0.1782513326268274,0.8778167009353638,
sensory,RW-MLP,0.0765181227097671,0.12848208898475416,0.7625191722975952,0.06147909081423476,0.6078738952505177,0.05796345540733923,0.36919332132174526,0.11118576348824005,4.457473921775818,2.0
sensory,FT-Transformer,0.15162100141348658,0.09039103358805196,0.7325534668798026,0.06347884321482428,0.5916572373488853,0.0601877076179904,0.4113344276967794,0.1128037300380715,4.435550546646118,
sensory,RW-FT-Transformer,0.12738169103628955,0.0955024052233603,0.7426038331565119,0.06118954069149667,0.5997533518692542,0.0584396834180878,0.3913779934376235,0.1191343969509306,22.063054656982423,3.0
no2,XGBoost,0.5420704647973318,0.11736506639744393,0.4703327123641845,0.05008485570176963,0.3611381452330017,0.038485111306988055,0.7331722662413505,0.05494812992323803,0.7162605285644531,
no2,CatBoost,0.5740688442660177,0.10396563527022144,0.4545349261246061,0.05963970418800557,0.3541318300719011,0.04391310408898114,0.7515449263362182,0.04770001950252769,0.5191570520401001,
no2,LightGBM,0.5792869332333559,0.07619675140360975,0.4539797724962565,0.049556161111555475,0.35649048467635824,0.03511495496225791,0.7673197037091266,0.03554985540212545,22.44654247760773,
no2,RandomForest,0.553956821301258,0.10770321765560684,0.46509107930184507,0.05714775291043714,0.360437094196873,0.0419278025010903,0.723611310733334,0.052624844055461195,0.5441290616989136,
no2,MLP,0.520638406290144,0.09834479552397435,0.48356395886892345,0.05097980839849682,0.3814598630133057,0.04013811062317656,0.7326918839054963,0.04667970994273523,0.8011950731277466,
no2,RW-MLP,0.5175499021719052,0.10087718188916474,0.4848515481743105,0.05214606424814515,0.38185246576324466,0.0394824515566157,0.7334217906216429,0.04415856431410044,3.667559289932251,10.0
no2,FT-Transformer,0.46680248566079746,0.11701932243226391,0.5089438058525497,0.05251387089140242,0.3982214737084962,0.04396199894922174,0.7199472208114724,0.04966408647569326,2.313455009460449,
no2,RW-FT-Transformer,0.46949028957724614,0.1252317379960697,0.5070143119882332,0.054442793856777034,0.3934758034907532,0.04295831514957962,0.7256329249096302,0.05016399655178649,12.439267468452453,1.0
quake,XGBoost,-0.22601674422198634,0.08846916396580913,0.20425044301245615,0.010949398436269098,0.16019990934144462,0.00839967725877702,0.07928207794653222,0.04276376949733701,0.47866570949554443,
quake,CatBoost,0.009440747283131112,0.030291681984543014,0.183776596426075,0.009580212855189143,0.1463537173158769,0.007047197465076451,0.0875842168627822,0.018060791711387945,0.45338950157165525,
quake,LightGBM,-0.023399386231537023,0.05210270417324114,0.18677283977854242,0.010599491638902933,0.14802809536048386,0.00730584500516915,0.08334400520056433,0.062022631855924826,26.402748823165894,
quake,RandomForest,0.024178522523876634,0.04136257385463752,0.18234301354847895,0.009116146177189534,0.1448281325985956,0.006478313750587868,0.1031390878833367,0.05249623538879492,0.6049516201019287,
quake,MLP,-0.0011495534597922186,0.020094081546012173,0.1848891267402954,0.011438122662748282,0.1461240535263621,0.007663492944734574,0.07652625287562673,0.0570158786801409,1.6813504219055175,
quake,RW-MLP,-0.0012290747828586745,0.019076027346044595,0.18491163318968548,0.011650367658849631,0.1461112174200355,0.007837314151849023,0.0702403386092324,0.06674933378239771,9.435929536819458,2.0
quake,FT-Transformer,-0.006207487639127052,0.021326252970109656,0.18535493897051253,0.011502659510926687,0.14672534102693605,0.007794798373541113,0.03361476186769923,0.06025475092138773,5.105758810043335,
quake,RW-FT-Transformer,-0.007688954032262852,0.021330737568912943,0.18548987079929374,0.011480984312587893,0.14665316931698297,0.007896960664674204,0.03423101820819421,0.06068210890610292,28.88209307193756,2.0
house_16H,XGBoost,0.6037337067105308,0.034817256505275035,33477.619291437804,2988.1537424620246,17372.86889352875,1008.4714634445639,0.7908095962101946,0.023009632077670657,0.8079955816268921,
house_16H,CatBoost,0.6314098127824559,0.03731950299943388,32368.805604776564,3797.941482408267,16761.36926998566,1218.5314861790273,0.8023906691679734,0.01849216289836547,0.5801245450973511,
house_16H,LightGBM,0.6417707824355368,0.03969365206652323,31868.00003252295,3480.957954909103,16232.896115762976,1031.2891624759768,0.819959188272553,0.019523918244217106,27.649177742004394,
house_16H,RandomForest,0.6078137901957824,0.027259573675639755,33412.6724526215,3786.0145467472225,16821.899774688824,1199.2748969591635,0.8240769362845338,0.018945478677567174,1.4080610990524292,
house_16H,MLP,0.613538606130279,0.04709075736567005,33043.98092379094,3358.5903398209075,16323.835046363829,1064.7023575415544,0.8144249262574019,0.018583945741953253,13.10191798210144,
house_16H,RW-MLP,0.6052922595963703,0.04759042559130069,33370.17731410521,3186.641739827954,16463.80786809082,1249.7847880430838,0.809512295152993,0.01714118274137335,83.7770530462265,10.0
house_16H,FT-Transformer,0.6312865940624466,0.029718370395620017,32292.001171256048,2828.0158083935894,16145.726247460936,865.9953227666327,0.8124520048860264,0.021789485728120485,61.08075079917908,
house_16H,RW-FT-Transformer,0.627343194173897,0.03977816173137164,32374.696973313083,2248.1250715623432,16265.122880810546,732.8404739018866,0.8133122202714536,0.024790242330498424,338.72965755462644,1.0
SWD,XGBoost,0.38320882045079696,0.07555680430893211,0.6381020247254734,0.03515957078217997,0.5061248865127563,0.03374302944712811,0.6151160192055928,0.061809905573695006,0.5495297193527222,
SWD,CatBoost,0.3888677644037357,0.07525763340619036,0.6352006444348794,0.03614730813530876,0.5063364288438864,0.034406502727831384,0.6161195868767011,0.06078417614962844,0.44246597290039064,
SWD,LightGBM,0.3903672416913629,0.07626669572559336,0.6343598015494563,0.03623108557356157,0.5059722974868948,0.03439554907811137,0.6177544850194513,0.06456355820144265,24.617606949806213,
SWD,RandomForest,0.3863526303049342,0.07596982817688468,0.6364196109825758,0.0350074709846483,0.5063564620266833,0.03359019398948394,0.6141304659145649,0.0636412000070698,0.5638006687164306,
SWD,MLP,0.39185490519053656,0.0815825907273067,0.6333858994868747,0.03846896465817955,0.5178270795345307,0.03150345098579467,0.6344703601240032,0.07170282559783016,0.9035114765167236,
SWD,RW-MLP,0.39239976694691814,0.07930942201176902,0.6332814977546937,0.03915200949018215,0.5152927675247192,0.030647043121740974,0.6314961287946799,0.0749382985667304,4.2680888175964355,10.0
SWD,FT-Transformer,0.3997131501223433,0.0926789221919379,0.6288552370785683,0.04409367263116296,0.5074888098239899,0.03701747406421489,0.6308148816575245,0.07311639524898189,4.491399359703064,
SWD,RW-FT-Transformer,0.402572017500795,0.0950374483170801,0.6271258030922412,0.04372351172125471,0.5055779047012329,0.035688500511312074,0.6338627605415793,0.07325200362692855,22.57264189720154,10.0
ERA,XGBoost,0.3554327034865679,0.07798337355954668,1.6146395411574654,0.1043591617401823,1.2951746995449065,0.0879953939312846,0.5526390383121964,0.06312686449043331,0.5721518754959106,
ERA,CatBoost,0.3555944337405416,0.07793868132588759,1.6144397039950182,0.10428163728512159,1.2950546698690864,0.08816986146723198,0.5534283985738077,0.062432017591928506,0.48210701942443845,
ERA,LightGBM,0.3561662269673538,0.0776040780525846,1.6137363648515124,0.10399133481544975,1.2950896027499046,0.08774711741000914,0.5531212727793673,0.06374168039216035,16.968631267547607,
ERA,RandomForest,0.35485111143948406,0.07730633736546381,1.6154575369050588,0.1037265188782055,1.2960476380976533,0.0863506617738636,0.5520196462993442,0.062073858484802964,0.5529207944869995,
ERA,MLP,0.34753032319589205,0.08518903190232442,1.6240517781889126,0.11629493063930484,1.309196993112564,0.11007926315610883,0.5579023622171748,0.06504884549197514,0.9443022012710571,
ERA,RW-MLP,0.35427898400313396,0.08277407958068189,1.6159705983613555,0.11679895856785881,1.3035513405799866,0.11031624918998194,0.5591697866021088,0.06570634585641871,4.350094342231751,3.0
ERA,FT-Transformer,0.34417134475796657,0.079082658770759,1.629396172811487,0.11516554269304069,1.3081128046512602,0.10619537210645055,0.5628492557599651,0.0668867806952087,2.9014443874359133,
ERA,RW-FT-Transformer,0.34377647296876235,0.07734117765151706,1.629952514322961,0.11296960389921172,1.3087621423006057,0.10578165455155139,0.561780623093843,0.0663328555472749,16.681826877593995,3.0
FacultySalaries,XGBoost,0.6514251415143202,0.2913590195062896,1.829273940401204,0.7543837361828571,1.4062412597656249,0.5359407749289672,0.8520782681668122,0.17415810624394554,0.4592242956161499,
FacultySalaries,CatBoost,0.4158225662223992,0.4243550817831377,2.3121144204087507,0.8808549773590607,1.8875760974838092,0.7797562217187286,0.6925978352085154,0.2808686277121373,0.5162860155105591,
FacultySalaries,LightGBM,0.048737466039143196,0.6856015893726435,3.0149665892921154,1.2873576896361407,2.485332477851882,1.1937108150784046,,,14.340318727493287,
FacultySalaries,RandomForest,0.6048004965755921,0.3544787295287955,1.8817240366440324,0.8009779756609233,1.5193980000000005,0.6107501904747058,0.7799999999999999,0.18867962264113203,0.4451401948928833,
FacultySalaries,MLP,0.5769419546310136,0.24090484224858028,2.0683665416697488,0.7867634240145215,1.666305941772461,0.6173358455164619,0.7499999999999999,0.2459674775249768,0.16407511234283448,
FacultySalaries,RW-MLP,0.5963423292220464,0.22648684113535067,2.0099586679141823,0.7701892093431182,1.618378359985352,0.6074795938835585,0.7499999999999999,0.2459674775249768,0.7796696424484253,1.0
FacultySalaries,FT-Transformer,0.36235825829074625,0.34926197348425164,2.4853803700142816,0.8545806162182787,1.952566256713867,0.684890087667396,0.7199999999999999,0.24413111231467402,0.5562653779983521,
FacultySalaries,RW-FT-Transformer,0.3651991262678417,0.3539346827933642,2.457861782439818,0.856681561340713,1.9314596130371093,0.6882410092573874,0.74,0.2497999199359359,3.1175753355026243,1.0
wine_quality,XGBoost,-0.2594024150340818,0.2868546680146399,12420.80870498535,5038.044856286091,3629.1077249426817,287.0456156825498,0.24500173646845483,0.02067693480357753,0.8809712886810303,
wine_quality,CatBoost,-0.00955713246521328,0.03661029254626185,11561.260362087885,5455.660709704859,3138.0096453444394,301.1788806959112,0.3146810402789786,0.028743177814040594,0.7313856601715087,
wine_quality,LightGBM,-0.02051930636785345,0.03327098146861413,11635.691654420554,5534.609593583072,3186.622973598408,335.90241723586865,0.30500605272908454,0.035398513622101314,12.670052576065064,
wine_quality,RandomForest,-0.10160454741833944,0.29118330689590766,11804.305412331714,5324.384242215625,3219.870381400572,349.5737095353553,0.32333731987040015,0.017944883074839157,2.714014506340027,
wine_quality,MLP,0.022862330306516222,0.017204311212457583,11437.142953728297,5546.275602654961,3080.8173520484925,357.27368316433495,0.28914099148940325,0.039975516598553515,5.80348117351532,
wine_quality,RW-MLP,0.021255760457606288,0.01646488836155163,11442.90348774259,5534.880031000812,3056.0974536042213,377.8987606487596,0.3029774216241553,0.03682345153778129,39.57232673168183,2.0
wine_quality,FT-Transformer,0.032548928897476695,0.02255368332853136,11398.229215311601,5563.090546912129,2920.329190240479,323.07353591130976,0.3312730625707661,0.023171824238149827,70.21649606227875,
wine_quality,RW-FT-Transformer,0.028847134674252185,0.018156178384383485,11414.025840437494,5555.190976263173,2964.252164779663,350.79465866951807,0.3360077991574889,0.03734328726002576,354.0629937648773,1.0
Moneyball,XGBoost,0.9277979923521522,0.007898938719342379,24.52290165112398,1.5801910444015062,19.38798222695628,1.2559841928912925,0.9590755932201332,0.007227647162889352,0.660484504699707,
Moneyball,CatBoost,0.938196816955055,0.009349848102333904,22.649991931342257,1.706419776731823,17.78123522573604,1.3257710583094104,0.9649017964981808,0.006968293450106638,0.5814955949783325,
Moneyball,LightGBM,0.937569692545938,0.008399834094637806,22.780574483736906,1.6587352158224795,17.852201417146212,1.3186962954225645,0.9646056346228982,0.007314067683916521,18.010606837272643,
Moneyball,RandomForest,0.9293653389666524,0.007587811340499918,24.241415892794578,1.3886686216508979,19.286411500921307,1.1918017452246665,0.959966880576301,0.008398229632867515,0.5563313007354737,
Moneyball,MLP,0.9450698299275597,0.009412996157913675,21.3218357924574,1.8281488074283456,16.654121964977634,1.4260648331633723,0.9680367752117087,0.006676969324364619,1.430936336517334,
Moneyball,RW-MLP,0.9454608727150576,0.01001287126398991,21.238153201689666,1.9652879366434486,16.73458800777312,1.686578740394438,0.9679524283850188,0.0068165793791901946,6.85964617729187,10.0
Moneyball,FT-Transformer,0.9397519580859786,0.008868793600965683,22.38430578357291,2.0038831277672253,17.70124893188477,1.6192248519104984,0.9661166325065762,0.006375546388415143,8.59653549194336,
Moneyball,RW-FT-Transformer,0.9414136871233859,0.009367927207557164,22.037239293426484,1.8994140827804118,17.45461858933972,1.6459211458291902,0.9665213689063457,0.00650318227274183,49.83181638717652,10.0
black_friday,XGBoost,0.47527718205434377,0.020898664291299097,3678.4368837964817,84.93181943584113,2848.622273943901,59.455758556551736,0.6506058182712579,0.015671804204946762,0.7813878059387207,
black_friday,CatBoost,0.5042237340478407,0.0200894065387086,3575.5666206828073,85.39243488883008,2807.391634271479,68.16928395727292,0.6650078549848603,0.01710170225877371,0.5776506900787354,
